city,lat,lng
Sunrise Manor,36.1783,-115.0487
Grand Prairie,32.6871,-97.0208
Ocala,29.178,-82.1511
Waco,31.5599,-97.1882
Overland Park,38.887,-94.687
Frederick,39.4337,-77.4141
Huntington Beach,33.696,-118.0018
Santa Barbara,34.4285,-119.7202
Peoria,33.7843,-112.2989
Cedar Rapids,41.9662,-91.6783
Vancouver,45.6366,-122.5967
Glendale,34.1819,-118.2468
Gastonia,35.2494,-81.1854
Spring Hill,28.4798,-82.53
Murfreesboro,35.849,-86.4121
Tempe,33.3881,-111.9319
Paradise,36.0872,-115.1355
Newport News,37.1051,-76.5185
Erie,42.1167,-80.0733
Fort Lauderdale,26.1412,-80.1464
Gainesville,34.2902,-83.8294
Aurora,41.7638,-88.2902
Mauldin,34.7821,-82.3032
Ontario,34.0393,-117.6064
Elk Grove,38.4161,-121.3842
Panama City,30.1995,-85.6003
Cary,35.7819,-78.8195
Hemet,33.7341,-116.9969
Danbury,41.4015,-73.4709
Rancho Cucamonga,34.1247,-117.5667
Salinas,36.6883,-121.6317
Oceanside,33.2247,-117.3083
Vallejo,38.1125,-122.2342
High Point,35.991,-79.9937
Garden Grove,33.7787,-117.9601
Pembroke Pines,26.0128,-80.3382
Lancaster,34.6935,-118.1753
Marysville,48.0809,-122.1561
Bayamón,18.3794,-66.1635
Fredericksburg,38.2992,-77.4872
Visalia,36.3276,-119.3269
Tuscaloosa,33.2348,-87.5268
Palmdale,34.5944,-118.1057
Santa Cruz,36.9789,-122.0346
Medford,42.3372,-122.854
Norwich,41.5495,-72.0882
Merced,37.3057,-120.4779
Manchester,42.9848,-71.4447
Odessa,31.8801,-102.3448
Muskegon,43.2281,-86.2562
Leesburg,28.7672,-81.8962
Lafayette,40.3991,-86.8593
Hayward,37.6328,-122.0766
Corona,33.8616,-117.5649
Paterson,40.9147,-74.1624
Alexandria,38.8185,-77.0861
Macon,32.8065,-83.6974
Lakewood,39.6977,-105.1172
Springfield,39.7709,-89.654
Kansas City,39.1235,-94.7443
Burlington,36.076,-79.4685
Warner Robins,32.5961,-83.6527
Sunnyvale,37.3836,-122.0255
Hollywood,26.0293,-80.1679
Roseville,38.7703,-121.3196
New Bedford,41.6697,-70.9428
South Lyon,42.4614,-83.6526
Bellevue,47.5951,-122.1535
Fairfield,38.2583,-122.0335
Binghamton,42.1014,-75.9093
Topeka,39.0346,-95.6955
Escondido,33.1348,-117.0723
Joliet,41.5188,-88.1499
Surprise,33.6815,-112.4515
Naperville,41.748,-88.1659
Pasadena,29.6575,-95.1498
Mesquite,32.7602,-96.5865
Champaign,40.1142,-88.2737
Pomona,34.0585,-117.7626
Houma,29.58,-90.7059
Athens,33.9508,-83.3689
St. George,37.0758,-113.5752
Beaumont,30.0849,-94.1451
Elkhart,41.6916,-85.9627
Lake Charles,30.201,-93.2111
Santa Maria,34.9333,-120.4431
Yuma,32.5995,-114.5491
Olathe,38.8833,-94.82
Midland,32.0243,-102.1147
Greeley,40.4152,-104.7706
Torrance,33.8346,-118.3416
Thornton,39.9197,-104.9438
Las Cruces,32.3265,-106.7893
Columbia,38.9472,-92.3268
Fullerton,33.8841,-117.9279
Grand Junction,39.0877,-108.5673
Carolina,18.4054,-65.9792
Metairie,29.9977,-90.178
Orange,33.8038,-117.8218
Warren,42.4934,-83.027
West Valley City,40.6886,-112.0123
Hampton,37.0551,-76.363
Pasadena,34.1597,-118.139
Miramar,25.9773,-80.3351
Elizabeth,40.6658,-74.1913
Stamford,41.1039,-73.5585
Racine,42.7274,-87.8135
Kent,47.3887,-122.2128
Yakima,46.5923,-120.5496
Coral Springs,26.2702,-80.2591
Sterling Heights,42.5809,-83.0305
Billings,45.7891,-108.5526
Bloomington,40.4757,-88.9703
Charleston,38.3484,-81.6322
Carrollton,32.989,-96.8999
Tyler,32.3184,-95.3062
Iowa City,41.6559,-91.5303
Johnson City,36.3406,-82.3806
Santa Clara,37.3646,-121.968
Bellingham,48.7548,-122.469
Norman,35.2335,-97.3471
Coeur d'Alene,47.704,-116.7936
Fort Smith,35.3495,-94.3695
Lewisville,33.0454,-96.9815
Dover,39.161,-75.5202
Yuba City,39.1357,-121.6383
Lehigh Acres,26.612,-81.6388
Abilene,32.4543,-99.7384
Simi Valley,34.2663,-118.749
Pearland,29.5581,-95.3218
Kenosha,42.5865,-87.8773
Arecibo,18.4491,-66.7387
Meridian,43.6116,-116.3977
Round Rock,30.527,-97.6642
Waldorf,38.6085,-76.9194
Temple,31.1068,-97.3891
Lynchburg,37.4003,-79.1909
Rochester,44.0154,-92.478
Logan,41.7399,-111.8422
Arvada,39.832,-105.151
Clovis,36.8278,-119.683
Independence,39.0871,-94.3501
Redding,40.5698,-122.365
Greenville,35.5943,-77.376
Duluth,46.7756,-92.1393
Berkeley,37.8722,-122.276
Boulder,40.0248,-105.2524
Pueblo,38.2701,-104.6114
West Palm Beach,26.7469,-80.132
Burlington,44.4876,-73.2316
Seaside,36.6224,-121.8199
Richardson,32.9716,-96.7093
Cambridge,42.3759,-71.1185
Monroe,32.5185,-92.0774
North Charleston,32.9067,-80.0722
Saginaw,43.4199,-83.9501
Clearwater,27.979,-82.7623
The Woodlands,30.1738,-95.5134
Brandon,27.9367,-82.3
St. Cloud,45.534,-94.1718
West Jordan,40.6024,-112.0008
Broken Arrow,36.038,-95.7806
Harlingen,26.1916,-97.6977
Kailua,21.392,-157.7396
Westminster,39.8837,-105.0624
Gilroy,37.0046,-121.5854
Richmond,37.9477,-122.3389
Mandeville,30.3751,-90.0904
Utica,43.0962,-75.2261
Ponce,18.0127,-66.6212
League City,29.4874,-95.1087
Port Arthur,29.8554,-93.9264
Lowell,42.6389,-71.3217
East Los Angeles,34.0326,-118.1691
Carlsbad,33.1246,-117.2834
Elgin,42.0383,-88.324
Waterloo,42.4918,-92.3522
Leominster,42.5209,-71.7717
Bend,44.0563,-121.3095
Sioux City,42.4959,-96.3901
Gresham,45.5021,-122.4413
Longview,32.5193,-94.7622
Pompano Beach,26.2428,-80.1312
Downey,33.9379,-118.1311
Murrieta,33.5719,-117.1909
Idaho Falls,43.4871,-112.0362
Miami Gardens,25.9433,-80.2426
Everett,47.9525,-122.1669
Holland,42.7677,-86.0984
Costa Mesa,33.6667,-117.9135
Temecula,33.4928,-117.1315
Jacksonville,34.7289,-77.3941
San Buenaventura,34.2741,-119.2314
Sugar Land,29.5935,-95.6358
Chico,39.7578,-121.8161
South Fulton,33.6273,-84.58
Sparks,39.5736,-119.7161
Eau Claire,44.8197,-91.4948
Auburn,32.6087,-85.4903
Dearborn,42.3127,-83.213
Riverview,27.8227,-82.3023
Allen,33.1088,-96.6735
West Covina,34.0555,-117.9113
Centennial,39.5926,-104.8673
Bloomington,39.1637,-86.5257
Sandy Springs,33.9366,-84.3703
El Monte,34.0739,-118.0291
Hillsboro,45.5273,-122.936
Menifee,33.6909,-117.1849
Rio Rancho,35.2873,-106.6982
Davie,26.0789,-80.287
Jurupa Valley,34.001,-117.4706
Columbia,39.2004,-76.859
Inglewood,33.9566,-118.3444
Spokane Valley,47.6626,-117.2346
Renton,47.4784,-122.1918
San Tan Valley,33.1786,-111.5629
Burbank,34.1879,-118.3235
Brockton,42.0821,-71.0242
El Cajon,32.8017,-116.9604
Rialto,34.1175,-117.3892
San Mateo,37.5522,-122.3121
Goodyear,33.2614,-112.3622
Charlottesville,38.0375,-78.4855
Lafayette,39.9946,-105.0998
Lee's Summit,38.9171,-94.3816
Edinburg,26.3196,-98.1597
Daly City,37.6862,-122.4685
Wichita Falls,33.9072,-98.5291
Bowling Green,36.9716,-86.4378
Longmont,40.1686,-105.1005
Vacaville,38.3587,-121.9673
Highlands Ranch,39.5419,-104.9708
Quincy,42.2506,-71.0187
Fishers,39.9588,-85.9659
Lynn,42.4781,-70.9664
Norwalk,33.9069,-118.0829
Carmel,39.965,-86.146
Hesperia,34.3975,-117.3147
St. Augustine,29.8976,-81.31
Buckeye,33.4314,-112.6429
San Angelo,31.4424,-100.4504
Federal Way,47.3091,-122.3358
Bismarck,46.8143,-100.7694
Boca Raton,26.3752,-80.108
New Braunfels,29.6994,-98.1148
Vista,33.1896,-117.2386
Beaverton,45.4779,-122.8168
Portsmouth,36.8468,-76.354
Orem,40.2981,-111.6994
Conroe,30.3238,-95.4824
Suffolk,36.6953,-76.6398
Sunrise,26.1547,-80.2997
Lawrence,38.9597,-95.2642
Arden-Arcade,38.6017,-121.3845
Prescott Valley,34.598,-112.3185
Middletown,39.5033,-84.3659
San Germán,18.0827,-67.046
Edmond,35.6689,-97.416
Tracy,37.7269,-121.4523
Manteca,37.7927,-121.2264
Kingsport,36.5224,-82.5454
Portsmouth,43.058,-70.7826
Sandy,40.5709,-111.8506
Palm Coast,29.5389,-81.2457
Slidell,30.2887,-89.7828
San Marcos,33.135,-117.1743
Livonia,42.3972,-83.3733
Santa Fe,35.6619,-105.9819
Plantation,26.1259,-80.2617
Atascocita,29.9777,-95.1953
Fall River,41.7136,-71.1015
Compton,33.893,-118.2274
