lat,lon,power_potential,mean_wind_speed,nearest_turbine_km,cf_estimated,annual_energy_kwh,annual_revenue,annual_profit,roi_percent,payback_years,lifetime_profit,annual_energy_kwh,annual_revenue,annual_profit,roi_percent,payback_years,lifetime_profit
26.0,-106.5,197.54018116980603,5.844633604003966,463.90093782614343,0.1422316802001983,124594951.85537371,6229747.592768686,1729747.592768686,1.1531650618457905,86.71785445869908,-115405048.14462629,124594951.85537371,6229747.592768686,1729747.592768686,1.1531650618457905,86.71785445869908,-115405048.14462629
26.0,-106.23469387755102,375.55725849439943,7.170984310210219,484.02359386052007,0.20854921551051095,182689112.7872076,9134455.639360381,4634455.639360381,3.089637092906921,32.36626082382829,-57310887.21279237,182689112.7872076,9134455.639360381,4634455.639360381,3.089637092906921,32.36626082382829,-57310887.21279237
26.0,-105.96938775510205,191.4691877357566,5.737609723990797,504.70799227981354,0.13688048619953985,119907305.91079691,5995365.295539846,1495365.2955398457,0.9969101970265638,100.3099379445262,-120092694.08920309,119907305.91079691,5995365.295539846,1495365.2955398457,0.9969101970265638,100.3099379445262,-120092694.08920309
26.0,-105.70408163265306,509.35257320177567,8.052847001027066,525.8877649794717,0.2526423500513533,221314698.64498553,11065734.932249278,6565734.932249278,4.377156621499519,22.845881161488386,-18685301.355014443,221314698.64498553,11065734.932249278,6565734.932249278,4.377156621499519,22.845881161488386,-18685301.355014443
26.0,-105.43877551020408,372.43473326549343,7.2833228919903705,507.76874535052985,0.21416614459951852,187609542.66917822,9380477.13345891,4880477.1334589105,3.2536514223059405,30.734699886543968,-52390457.33082178,187609542.66917822,9380477.13345891,4880477.1334589105,3.2536514223059405,30.734699886543968,-52390457.33082178
26.0,-105.1734693877551,188.6420011671499,5.7355527030854585,481.3597898312789,0.13677763515427294,119817208.39514309,5990860.419757155,1490860.4197571548,0.9939069465047699,100.61304063893077,-120182791.60485691,119817208.39514309,5990860.419757155,1490860.4197571548,0.9939069465047699,100.61304063893077,-120182791.60485691
26.0,-104.90816326530613,297.6744479060035,6.665062614795265,454.96238009934535,0.18325313073976326,160529742.52803263,8026487.126401632,3526487.126401632,2.350991417601088,42.535246726692996,-79470257.47196735,160529742.52803263,8026487.126401632,3526487.126401632,2.350991417601088,42.535246726692996,-79470257.47196735
26.0,-104.64285714285714,342.4007627054575,7.024244685653765,428.57877039375495,0.20121223428268825,176261917.2316349,8813095.861581746,4313095.8615817465,2.8753972410544977,34.777803418677166,-63738082.76836507,176261917.2316349,8813095.861581746,4313095.8615817465,2.8753972410544977,34.777803418677166,-63738082.76836507
26.0,-104.37755102040816,193.5483031410319,5.815959291720234,402.2117977980939,0.1407979645860117,123339016.97734626,6166950.848867313,1666950.848867313,1.111300565911542,89.98465677732757,-116660983.02265374,123339016.97734626,6166950.848867313,1666950.848867313,1.111300565911542,89.98465677732757,-116660983.02265374
26.0,-104.11224489795919,310.250230007535,6.775584597835156,375.8650856380759,0.1887792298917578,165370605.38517982,8268530.269258991,3768530.269258991,2.5123535128393275,39.80331569142328,-74629394.61482018,165370605.38517982,8268530.269258991,3768530.269258991,2.5123535128393275,39.80331569142328,-74629394.61482018
26.0,-103.84693877551021,257.96661902505514,6.39954364707224,349.5433380763859,0.16997718235361198,148900011.7417641,7445000.587088205,2945000.587088205,1.96333372472547,50.93377592440778,-91099988.2582359,148900011.7417641,7445000.587088205,2945000.587088205,1.96333372472547,50.93377592440778,-91099988.2582359
26.0,-103.58163265306122,318.71456538747117,6.838823823106362,323.2527772179803,0.1919411911553181,168140483.45205864,8407024.172602933,3907024.172602933,2.6046827817352884,38.39239108164186,-71859516.54794134,168140483.45205864,8407024.172602933,3907024.172602933,2.6046827817352884,38.39239108164186,-71859516.54794134
